"Date","Price","Open","High","Low","Change %"
"Sep 13, 2016","2.3649","2.3601","2.3681","2.3540","0.11%"
"Sep 12, 2016","2.3622","2.3572","2.3676","2.3525","0.02%"
"Sep 09, 2016","2.3618","2.3533","2.3735","2.3457","0.26%"
"Sep 08, 2016","2.3557","2.3577","2.3618","2.3410","-0.17%"
"Sep 07, 2016","2.3598","2.3551","2.3645","2.3511","0.11%"
"Sep 06, 2016","2.3573","2.3787","2.3834","2.3530","-0.95%"
"Sep 05, 2016","2.3798","2.3771","2.3813","2.3696","0.05%"
"Sep 02, 2016","2.3786","2.3632","2.3820","2.3567","0.46%"
"Sep 01, 2016","2.3676","2.3746","2.3875","2.3618","-0.39%"
"Aug 31, 2016","2.3769","2.3749","2.3868","2.3713","-0.09%"
"Aug 30, 2016","2.3790","2.3708","2.3843","2.3689","0.31%"
"Aug 29, 2016","2.3716","2.3688","2.3771","2.3618","0.12%"
"Aug 26, 2016","2.3687","2.3482","2.3773","2.3337","0.75%"
"Aug 25, 2016","2.3510","2.3529","2.3582","2.3463","-0.19%"
"Aug 24, 2016","2.3554","2.3442","2.3608","2.3397","0.36%"
